ID Geography,Geography,Adult Smoking (2014),Adult Smoking (2015),Adult Smoking (2016),Adult Smoking (2017),Adult Smoking (2018),Adult Smoking CI High (2014),Adult Smoking CI High (2015),Adult Smoking CI High (2016),Adult Smoking CI High (2017),Adult Smoking CI High (2018),Adult Smoking CI Low (2014),Adult Smoking CI Low (2015),Adult Smoking CI Low (2016),Adult Smoking CI Low (2017),Adult Smoking CI Low (2018),High School Graduation (2014),High School Graduation (2015),High School Graduation (2016),High School Graduation (2017),High School Graduation (2018),Median Household Income (2014),Median Household Income (2015),Median Household Income (2016),Median Household Income (2017),Median Household Income (2018),Median Household Income CI High (2014),Median Household Income CI High (2015),Median Household Income CI High (2016),Median Household Income CI High (2017),Median Household Income CI High (2018),Median Household Income CI Low (2014),Median Household Income CI Low (2015),Median Household Income CI Low (2016),Median Household Income CI Low (2017),Median Household Income CI Low (2018),Unemployment (2014),Unemployment (2015),Unemployment (2016),Unemployment (2017),Unemployment (2018)
"04000US29","Missouri",0.22599999606609344,0.22599999606609344,0.20600000023841858,0.22300000488758087,0.22137708961963654,0.23399999737739563,0.23399999737739563,0.22100000083446503,0.23800000548362732,0.23782990872859955,0.21899999678134918,0.21899999678134918,0.19200000166893005,0.20800000429153442,0.20575518906116486,0.8169999718666077,0.8600000143051147,0.8790000081062317,0.8970000147819519,0.8968972563743591,45320,46905,48288,50200,51713,45810,47408,48948,50690,52153.8515625,44830,46402,47628,49710,51272.1484375,0.0689999982714653,0.06499999761581421,0.061000000685453415,0.05000000074505806,0.045256584882736206
"04000US56","Wyoming",0.1979999989271164,0.1979999989271164,0.19499999284744263,0.19099999964237213,0.18946264684200287,0.20399999618530273,0.20399999618530273,0.21400000154972076,0.20900000631809235,0.2099573016166687,0.19200000166893005,0.19200000166893005,0.1770000010728836,0.17299999296665192,0.17053672671318054,0.7990000247955322,0.7910000085830688,0.777999997138977,0.7929999828338623,0.7931719422340393,55104,58424,58291,61213,61686,56593,60185,60185,62935,63835.4453125,53615,56663,56397,59491,59536.5546875,0.05400000140070915,0.04600000008940697,0.0430000014603138,0.041999999433755875,0.052789125591516495
"04000US55","Wisconsin",0.18299999833106995,0.18299999833106995,0.17399999499320984,0.17299999296665192,0.17056718468666077,0.1899999976158142,0.1899999976158142,0.18799999356269836,0.18799999356269836,0.18591588735580444,0.17599999904632568,0.17599999904632568,0.1599999964237213,0.1589999943971634,0.15624241530895233,0.8700000047683716,0.875,0.8799999952316284,0.8840000033378601,0.883857011795044,51063,51474,52632,55623,56808,51442,51910,53140,56128,57450.2109375,50684,51038,52124,55118,56165.7890625,0.0689999982714653,0.06700000166893005,0.054999999701976776,0.04600000008940697,0.04140744358301163
"04000US54","West Virginia",0.25999999046325684,0.25999999046325684,0.2669999897480011,0.25699999928474426,0.2480541169643402,0.2669999897480011,0.2669999897480011,0.2809999883174896,0.2709999978542328,0.26077425479888916,0.2540000081062317,0.2540000081062317,0.2529999911785126,0.24300000071525574,0.2357565462589264,0.7799999713897705,0.7940000295639038,0.8149999976158142,0.8650000095367432,0.8651043176651001,40188,41195,41030,41969,43175,40984,42050,41782,42885,44414.1484375,39392,40340,40278,41053,41935.8515625,0.0729999989271164,0.06499999761581421,0.06499999761581421,0.06700000166893005,0.06004457175731659
"04000US01","Alabama",0.21899999678134918,0.21899999678134918,0.210999995470047,0.21400000154972076,0.21538154780864716,0.22499999403953552,0.22499999403953552,0.22499999403953552,0.2280000001192093,0.22956469655036926,0.21199999749660492,0.21199999749660492,0.1979999989271164,0.20100000500679016,0.20184509456157684,0.7450000047683716,0.7689999938011169,0.8140000104904175,0.8930000066757202,0.893225371837616,41610,42882,42917,44833,46309,42166,43623,43610,45694,47094.19140625,41054,42141,42224,43972,45523.80859375,0.0729999989271164,0.06499999761581421,0.06800000369548798,0.061000000685453415,0.05987009033560753
"04000US53","Washington",0.1550000011920929,0.1550000011920929,0.15299999713897705,0.15000000596046448,0.1394537091255188,0.15800000727176666,0.15800000727176666,0.164000004529953,0.15800000727176666,0.1476149708032608,0.15199999511241913,0.15199999511241913,0.14300000667572021,0.14100000262260437,0.13167396187782288,0.777999997138977,0.7870000004768372,0.7850000262260437,0.8140000104904175,0.8136177062988281,57574,58431,61358,64080,67064,58258,59204,61925,64997,67758.640625,56890,57658,60791,63163,66369.359375,0.0820000022649765,0.07000000029802322,0.06199999898672104,0.05700000002980232,0.054338157176971436
"04000US51","Virginia",0.17499999701976776,0.17499999701976776,0.19499999284744263,0.16500000655651093,0.15296773612499237,0.18199999630451202,0.18199999630451202,0.2070000022649765,0.1770000010728836,0.16293643414974213,0.16899999976158142,0.16899999976158142,0.18400000035762787,0.1550000011920929,0.14350438117980957,0.8190000057220459,0.8330000042915344,0.8460000157356262,0.859000027179718,0.8586405515670776,61782,62745,64923,66263,68127,62262,63512,65644,66898,68988.4453125,61302,61978,64202,65628,67265.5546875,0.05900000035762787,0.054999999701976776,0.052000001072883606,0.04399999976158142,0.0401260145008564
"04000US50","Vermont",0.16099999845027924,0.16099999845027924,0.164000004529953,0.1599999964237213,0.17019718885421753,0.16599999368190765,0.16599999368190765,0.17599999904632568,0.17299999296665192,0.18477697670459747,0.15600000321865082,0.15600000321865082,0.15299999713897705,0.14800000190734863,0.15654689073562622,0.8759999871253967,0.8790000081062317,0.8700000047683716,0.8799999952316284,0.8797031044960022,52700,52511,54153,56883,57661,54009,54093,55838,58331,59368.40234375,51391,50929,52468,55435,55953.59765625,0.05000000074505806,0.04399999976158142,0.04100000113248825,0.03700000047683716,0.0326249897480011
"04000US49","Utah",0.09399999678134918,0.09399999678134918,0.09700000286102295,0.09099999815225601,0.0878225639462471,0.09799999743700027,0.09799999743700027,0.10300000011920929,0.09799999743700027,0.09632499516010284,0.09000000357627869,0.09000000357627869,0.09099999815225601,0.08399999886751175,0.08000418543815613,0.7590000033378601,0.8009999990463257,0.8289999961853027,0.8479999899864197,0.8481271862983704,57067,59715,60943,62961,65931,57901,60585,61701,64315,67006.9140625,56233,58845,60185,61607,64855.0859375,0.05700000002980232,0.04399999976158142,0.03799999877810478,0.03500000014901161,0.03424619883298874
"04000US02","Alaska",0.20800000429153442,0.20800000429153442,0.19900000095367432,0.19099999964237213,0.19035407900810242,0.21799999475479126,0.21799999475479126,0.2160000056028366,0.21299999952316284,0.21430915594100952,0.19900000095367432,0.19900000095367432,0.18199999630451202,0.17100000381469727,0.16850240528583527,0.6809999942779541,0.6959999799728394,0.718999981880188,0.7580000162124634,0.7578051686286926,66503,70058,70898,73391,76144,68278,72004,72655,75618,78251.7421875,64728,68112,69141,71164,74036.2578125,0.07000000029802322,0.06499999761581421,0.06800000369548798,0.06499999761581421,0.06605202704668045
"04000US48","Texas",0.16699999570846558,0.16699999570846558,0.14499999582767487,0.15199999511241913,0.14263135194778442,0.17299999296665192,0.17299999296665192,0.15600000321865082,0.164000004529953,0.154959037899971,0.16200000047683716,0.16200000047683716,0.13600000739097595,0.14100000262260437,0.13113221526145935,0.8629999756813049,0.8790000081062317,0.8840000033378601,0.8899999856948853,0.8899999856948853,50747,51714,53067,55668,56583,51063,51998,53511,56041,56938.0625,50431,51430,52623,55295,56227.9375,0.06800000369548798,0.06300000101327896,0.050999999046325684,0.04500000178813934,0.046131208539009094
"04000US47","Tennessee",0.22599999606609344,0.22599999606609344,0.24199999868869781,0.21899999678134918,0.22087807953357697,0.2329999953508377,0.2329999953508377,0.2619999945163727,0.23600000143051147,0.23717133700847626,0.21899999678134918,0.21899999678134918,0.2240000069141388,0.2029999941587448,0.20540274679660797,0.8560000061988831,0.871999979019165,0.8640000224113464,0.8820000290870667,0.882280170917511,42743,44268,44357,47243,48506,43411,44854,45009,47818,49287.6171875,42075,43682,43705,46668,47724.3828125,0.07999999821186066,0.0820000022649765,0.06700000166893005,0.057999998331069946,0.048113904893398285
"04000US46","South Dakota",0.1809999942779541,0.1809999942779541,0.1860000044107437,0.20100000500679016,0.18108119070529938,0.18799999356269836,0.18799999356269836,0.2029999941587448,0.21899999678134918,0.20039181411266327,0.17399999499320984,0.17399999499320984,0.17000000178813934,0.18400000035762787,0.16325150430202484,0.8019999861717224,0.7850000262260437,0.824999988079071,0.8360000252723694,0.8360758423805237,48439,49200,51059,53263,54926,49503,50397,52189,54495,56329.57421875,47375,48003,49929,52031,53522.42578125,0.04399999976158142,0.03799999877810478,0.03400000184774399,0.03099999949336052,0.028198545798659325
"04000US45","South Carolina",0.2029999941587448,0.2029999941587448,0.2150000035762787,0.19699999690055847,0.20013000071048737,0.20800000429153442,0.20800000429153442,0.22699999809265137,0.20800000429153442,0.21196815371513367,0.19699999690055847,0.19699999690055847,0.20399999618530273,0.1860000044107437,0.1887945979833603,0.7390000224113464,0.7480000257492065,0.7760000228881836,0.8029999732971191,0.80296391248703,43290,44310,45337,47308,49587,44049,45074,45930,47951,50289.98046875,42531,43546,44744,46665,48884.01953125,0.09099999815225601,0.07599999755620956,0.06400000303983688,0.05999999865889549,0.04833724722266197
"04000US04","Arizona",0.16599999368190765,0.16599999368190765,0.16500000655651093,0.14000000059604645,0.1471475064754486,0.17399999499320984,0.17399999499320984,0.17599999904632568,0.15299999713897705,0.15962375700473785,0.15800000727176666,0.15800000727176666,0.15399999916553497,0.1289999932050705,0.13548919558525085,0.7799999713897705,0.7680000066757202,0.7549999952316284,0.7760000228881836,0.7755657434463501,47796,48504,50036,51473,53481,48491,49186,50602,51982,54217.33984375,47101,47822,49470,50964,52744.66015625,0.08299999684095383,0.07999999821186066,0.0689999982714653,0.061000000685453415,0.052997887134552
"04000US44","Rhode Island",0.164000004529953,0.164000004529953,0.16300000250339508,0.1550000011920929,0.14430400729179382,0.17000000178813934,0.17000000178813934,0.17800000309944153,0.17100000381469727,0.15891918540000916,0.1589999943971634,0.1589999943971634,0.14800000190734863,0.14100000262260437,0.13082385063171387,0.7739999890327454,0.7720000147819519,0.796999990940094,0.8309999704360962,0.8306798338890076,54002,55015,54797,57265,60046,55675,56846,56315,59534,61700.98046875,52329,53184,53279,54996,58391.01953125,0.10400000214576721,0.0949999988079071,0.07699999958276749,0.05999999865889549,0.0532541386783123
"04000US42","Pennsylvania",0.19900000095367432,0.19900000095367432,0.19900000095367432,0.1809999942779541,0.17955613136291504,0.20399999618530273,0.20399999618530273,0.210999995470047,0.19599999487400055,0.192496195435524,0.1940000057220459,0.1940000057220459,0.18799999356269836,0.1679999977350235,0.16730570793151855,0.8410000205039978,0.8529999852180481,0.8619999885559082,0.8539999723434448,0.8539215922355652,51225,52005,53224,55683,56897,51538,52308,53717,56129,57322.36328125,50912,51702,52731,55237,56471.63671875,0.07900000363588333,0.07400000095367432,0.057999998331069946,0.050999999046325684,0.05438229441642761
"04000US41","Oregon",0.16200000047683716,0.16200000047683716,0.17000000178813934,0.17100000381469727,0.16210885345935822,0.1679999977350235,0.1679999977350235,0.1850000023841858,0.1860000044107437,0.17537786066532135,0.15600000321865082,0.15600000321865082,0.15600000321865082,0.15800000727176666,0.1496615707874298,0.6859999895095825,0.6899999976158142,0.6970000267028809,0.746999979019165,0.746667206287384,49090,50228,51088,54074,57379,49993,50848,51661,55115,58354.828125,48187,49608,50515,53033,56403.171875,0.08699999749660492,0.07699999958276749,0.0689999982714653,0.05700000002980232,0.04880299046635628
"04000US40","Oklahoma",0.2409999966621399,0.2409999966621399,0.210999995470047,0.22200000286102295,0.19593274593353271,0.24699999392032623,0.24699999392032623,0.22300000488758087,0.23800000548362732,0.2105666995048523,0.23600000143051147,0.23600000143051147,0.19900000095367432,0.20600000023841858,0.18208125233650208,0.777999997138977,0.777999997138977,0.8460000157356262,0.8270000219345093,0.8273065686225891,44336,45724,47524,48595,49204,44876,46347,48057,49200,49930.80859375,43796,45101,46991,47990,48477.19140625,0.052000001072883606,0.05400000140070915,0.04500000178813934,0.041999999433755875,0.04870535805821419
"04000US05","Arkansas",0.2240000069141388,0.2240000069141388,0.24699999392032623,0.24899999797344208,0.23584885895252228,0.23100000619888306,0.23100000619888306,0.2680000066757202,0.27300000190734863,0.2591898441314697,0.2160000056028366,0.2160000056028366,0.2280000001192093,0.22699999809265137,0.2140025943517685,0.8090000152587891,0.8420000076293945,0.8500000238418579,0.8510000109672546,0.850836455821991,40151,40605,41335,42046,44406,40729,41420,42089,42608,45449.74609375,39573,39790,40581,41484,43362.25390625,0.0729999989271164,0.07500000298023224,0.061000000685453415,0.052000001072883606,0.03999270126223564
"04000US39","Ohio",0.21199999749660492,0.21199999749660492,0.20999999344348907,0.2160000056028366,0.22506368160247803,0.21699999272823334,0.21699999272823334,0.2240000069141388,0.23000000417232513,0.23777495324611664,0.20600000023841858,0.20600000023841858,0.19699999690055847,0.20200000703334808,0.21284219622612,0.8029999732971191,0.8180000185966492,0.8270000219345093,0.8119999766349792,0.8123223185539246,46873,48138,49349,51086,52357,47220,48617,49776,51364,52683.46875,46526,47659,48922,50808,52030.53125,0.07199999690055847,0.07400000095367432,0.05700000002980232,0.04899999871850014,0.049412988126277924
"04000US38","North Dakota",0.1809999942779541,0.1809999942779541,0.19900000095367432,0.18700000643730164,0.19773653149604797,0.18700000643730164,0.18700000643730164,0.2150000035762787,0.2029999941587448,0.21289367973804474,0.17499999701976776,0.17499999701976776,0.18400000035762787,0.1720000058412552,0.18340705335140228,0.843999981880188,0.8489999771118164,0.8579999804496765,0.8500000238418579,0.8499674797058105,54579,56800,60227,61674,61898,56135,58353,61944,63468,63566.0859375,53023,55247,58510,59880,60229.9140625,0.03099999949336052,0.028999999165534973,0.02800000086426735,0.027000000700354576,0.031619537621736526
"04000US37","North Carolina",0.20200000703334808,0.20200000703334808,0.19099999964237213,0.1899999976158142,0.17879854142665863,0.2070000022649765,0.2070000022649765,0.2029999941587448,0.2029999941587448,0.19129952788352966,0.19699999690055847,0.19699999690055847,0.17900000512599945,0.17800000309944153,0.16694582998752594,0.7850000262260437,0.8109999895095825,0.8289999961853027,0.8610000014305115,0.86106276512146,45195,45946,46596,47884,50595,45655,46445,47045,48496,50940.53125,44735,45447,46147,47272,50249.46875,0.0949999988079071,0.07999999821186066,0.061000000685453415,0.05700000002980232,0.05053149163722992
