ID Geography,Geography,Adult Obesity (2014),Adult Obesity (2015),Adult Obesity (2016),Adult Obesity (2017),Adult Obesity (2018),Air Pollution (2014),Air Pollution (2015),Air Pollution (2016),Air Pollution (2017),Air Pollution (2018),Average Age (2014),Average Age (2015),Average Age (2016),Average Age (2017),Average Age (2018),Average Age Appx MOE (2014),Average Age Appx MOE (2015),Average Age Appx MOE (2016),Average Age Appx MOE (2017),Average Age Appx MOE (2018),Average Income (2014),Average Income (2015),Average Income (2016),Average Income (2017),Average Income (2018),Average Income Appx MOE (2014),Average Income Appx MOE (2015),Average Income Appx MOE (2016),Average Income Appx MOE (2017),Average Income Appx MOE (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018)
04000US41,Oregon,0.25999999,0.268000007,0.25999999,0.263999999,0.272000015,8.909999847,8.909999847,8.909999847,7,7,39.33856576,39.54009293,39.64182422,39.7019472,39.97924578,0.284109637,0.282348169,0.280891895,0.278431065,0.277590781,27675.26384,29261.38513,30674.69646,31918.45573,34357.61487,534.3741629,562.0021737,586.7226025,595.1840239,646.4716405,3930065,3970239,4028977,4093465,4142776,4190713
04000US56,Wyoming,0.257999986,0.259000003,0.266000003,0.27700001,0.284999996,11.18000031,11.18000031,11.18000031,6.5,6.5,37.66569717,37.68937242,38.0773184,38.40153284,39.14233812,0.729759551,0.740720936,0.74704324,0.753931755,0.754753663,29752.34557,32012.5867,28794.52301,30809.19688,33505.20797,1355.164974,1622.800747,1340.691666,1512.920719,1881.594875,582658,584153,586107,585501,579315,577737
04000US55,Wisconsin,0.291000009,0.287999988,0.294,0.30399999,0.305999994,11.48999977,11.48999977,11.48999977,9.300000191,9.300000191,39.03907607,39.234791,39.37283206,39.59213425,39.78927708,0.23746305,0.237413877,0.238228527,0.238455305,0.238266586,28041.01172,29600.16214,30922.32133,32003.04263,32958.97205,424.568645,457.9640605,495.9336348,495.4895051,512.1042581,5742713,5757564,5771337,5778709,5795483,5813568
04000US01,Alabama,0.330000013,0.331999987,0.335999995,0.340000004,0.347000003,12.80000019,12.80000019,12.80000019,10.10000038,10.10000038,38.68572231,38.80329283,38.98514712,39.17638392,39.37274102,0.257189733,0.257764306,0.258451417,0.258823703,0.258859003,23759.07328,24719.75935,25930.17889,26471.72046,27382.73741,425.8733415,454.5950664,486.1668783,491.1519512,530.3156029,4833722,4849377,4858979,4863300,4874747,4887871
04000US54,West Virginia,0.330000013,0.333000004,0.340999991,0.345999986,0.354999989,13.18999958,13.18999958,13.18999958,9.5,9.5,40.69423766,40.91145083,41.05565228,41.23910363,41.54306768,0.422620156,0.423187412,0.427659092,0.429179495,0.431246398,22827.325,23724.42208,24815.05349,24357.05201,26368.82222,609.5648797,634.0773883,700.6165796,671.4964359,750.9560011,1854304,1850326,1844128,1831102,1815857,1805832
04000US02,Alaska,0.277999997,0.282999992,0.284000009,0.287,0.294,,,,,,34.89704669,34.82553979,35.10561886,35.59140302,36.06109259,0.614641647,0.617450969,0.616765397,0.624370931,0.629813928,33013.91056,33526.31513,34470.12288,34438.53759,35433.39547,1357.348925,1448.125639,1351.598203,1435.797106,1503.327744,735132,736732,738432,741894,739795,737438
04000US53,Washington,0.275000006,0.273000002,0.272000015,0.272000015,0.270000011,10.97999954,10.97999954,10.97999954,7,7,38.08983025,38.22056814,38.44201674,38.47803779,38.57471524,0.21007958,0.208642256,0.207734038,0.206020475,0.204133988,31905.13775,33564.34452,34932.82368,37144.83462,39053.24874,468.3665825,493.7060201,509.3558657,530.6325407,560.2467536,6971406,7061530,7170351,7288000,7405743,7535591
04000US04,Arizona,0.243000001,0.238999993,0.234999999,0.261000007,0.26699999,10.11999989,10.11999989,10.11999989,6,6,37.99691851,38.31912467,38.54786829,38.68951409,38.99783843,0.221189656,0.220296646,0.219529284,0.217850308,0.216209073,25741.03745,26714.83189,27949.56956,29420.61094,30458.17832,401.4771227,422.3702243,446.5983195,452.4556316,455.1605259,6626624,6731484,6828065,6931071,7016270,7171646
04000US51,Virginia,0.282999992,0.277999997,0.273000002,0.272000015,0.282999992,12.65999985,12.65999985,12.65999985,8.699999809,8.699999809,37.97259475,38.14676083,38.44752781,38.60643292,38.79320754,0.191888104,0.191928633,0.192347675,0.192302459,0.192757301,34094.99497,34723.85605,36271.57984,37485.33127,39096.49729,460.2219884,474.9682308,498.9463494,510.2643178,542.2381839,8260405,8326289,8382993,8411808,8470020,8517685
04000US05,Arkansas,0.324999988,0.328999996,0.333000004,0.344000012,0.345999986,11.76000023,11.76000023,11.76000023,10.10000038,10.10000038,38.31878232,38.44661313,38.52372661,38.64758699,38.76545022,0.332974794,0.33324905,0.333414805,0.332981634,0.332688978,22790.87153,23692.40836,24383.1284,25272.81432,26396.3632,557.3225533,569.5898703,579.2945593,584.4917199,661.7437256,2959373,2966369,2978204,2988248,3004279,3013825
04000US50,Vermont,0.245000005,0.244000003,0.244000003,0.241999999,0.246999994,10.73999977,10.73999977,10.73999977,7.5,7.5,40.84532895,41.31960156,41.31612375,41.56505258,41.92943307,0.713325988,0.71552111,0.722837639,0.719802591,0.721863823,29998.74388,32749.23229,31965.40647,32499.45608,33602.61284,1373.896574,1517.886048,1429.715064,1515.90035,1488.912373,626630,626562,626042,624594,623657,626299
