ID Geography,Geography,Diabetes Monitoring (2014),Diabetes Monitoring (2015),Diabetes Monitoring (2016),Diabetes Monitoring (2017),Diabetes Monitoring (2018),Diabetes Monitoring CI High (2014),Diabetes Monitoring CI High (2015),Diabetes Monitoring CI High (2016),Diabetes Monitoring CI High (2017),Diabetes Monitoring CI High (2018),Diabetes Monitoring CI Low (2014),Diabetes Monitoring CI Low (2015),Diabetes Monitoring CI Low (2016),Diabetes Monitoring CI Low (2017),Diabetes Monitoring CI Low (2018),Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018),Median Age (2013),Median Age (2014),Median Age (2015),Median Age (2016),Median Age (2017),Median Age (2018),Median Age Moe (2013),Median Age Moe (2014),Median Age Moe (2015),Median Age Moe (2016),Median Age Moe (2017),Median Age Moe (2018)
"04000US29","Missouri",0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8604223728179932,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8671053647994995,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8537393808364868,7.334000110626221,7,6.900000095367432,6.900000095367432,6.699999809265137,38.1,38.5,38.4,38.4,38.5,38.8,0.2,0.1,0.2,0.2,0.2,0.1
"04000US56","Wyoming",0.75,0.75,0.75,0.7699999809265137,0.7668325304985046,0.7699999809265137,0.7699999809265137,0.7799999713897705,0.7900000214576721,0.7875975966453552,0.7200000286102295,0.7200000286102295,0.7300000190734863,0.75,0.7460675239562988,7.936999797821045,7.699999809265137,7.599999904632568,7.599999904632568,7.099999904632568,36.6,36.6,36.5,37.2,37.5,38.5,0.4,0.4,0.5,0.4,0.3,0.3
"04000US55","Wisconsin",0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.904606819152832,0.9100000262260437,0.8999999761581421,0.9100000262260437,0.9100000262260437,0.912649393081665,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.8999999761581421,0.8965641856193542,8.253000259399414,8,7.900000095367432,8,8.800000190734863,39,39.2,39.4,39.4,39.5,39.6,0.2,0.2,0.1,0.1,0.2,0.2
"04000US54","West Virginia",0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8430061340332031,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8530182242393494,0.8199999928474426,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8329941034317017,7.684999942779541,7.300000190734863,7.300000190734863,7.199999809265137,7,41.7,41.9,42.2,42.3,42.4,42.8,0.2,0.2,0.2,0.3,0.2,0.2
"04000US01","Alabama",0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8496025800704956,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8561455607414246,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8430595397949219,6.915999889373779,6.699999809265137,6.599999904632568,6.5,5.599999904632568,38.3,38.6,38.7,39,38.9,39.3,0.2,0.2,0.2,0.2,0.2,0.2
"04000US53","Washington",0.8700000047683716,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8612363934516907,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8684857487678528,0.8600000143051147,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8539870977401733,7.699999809265137,7.5,7.5,7.599999904632568,8,37.4,37.5,37.5,37.7,37.7,37.7,0.1,0.1,0.2,0.2,0.2,0.2
"04000US51","Virginia",0.8600000143051147,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8712361454963684,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8799999952316284,0.8768081665039062,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8656641840934753,8.520999908447266,8.300000190734863,8.300000190734863,8.199999809265137,8.899999618530273,37.6,37.7,37.8,38.2,38.2,38.3,0.1,0.1,0.1,0.2,0.2,0.1
"04000US50","Vermont",0.8899999856948853,0.8799999952316284,0.8999999761581421,0.9100000262260437,0.9050382971763611,0.9100000262260437,0.9100000262260437,0.9200000166893005,0.9300000071525574,0.9251286387443542,0.8700000047683716,0.8600000143051147,0.8799999952316284,0.8799999952316284,0.8849479556083679,8.373000144958496,8.100000381469727,8,8,9,42.5,42.8,43.1,43.1,42.6,43.1,0.3,0.3,0.3,0.3,0.3,0.3
"04000US49","Utah",0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8611202836036682,0.8600000143051147,0.8500000238418579,0.8600000143051147,0.8700000047683716,0.8746252655982971,0.8299999833106995,0.8199999928474426,0.8399999737739563,0.8500000238418579,0.8476153612136841,7.583000183105469,7.400000095367432,7.5,7.599999904632568,7.800000190734863,30.2,30.5,30.6,30.7,31,31,0.1,0.1,0.1,0.1,0.2,0.2
"04000US02","Alaska",0.75,0.7599999904632568,0.7599999904632568,0.75,0.7545679807662964,0.7699999809265137,0.7900000214576721,0.7900000214576721,0.7799999713897705,0.7757543325424194,0.7200000286102295,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.7333816289901733,7.61299991607666,7.400000095367432,7.300000190734863,7.199999809265137,6.400000095367432,33.1,33.3,33.3,33.5,34.5,34.9,0.3,0.3,0.3,0.3,0.3,0.2
